,course_name,skill_label
271,Social Media Manager (IHK) - (Live-Online-Seminar),Social Media Management
272,Social Media Manager (IHK) - (Live-Online-Seminar),Suchmaschinenoptimierung
273,Social Media Manager (IHK) - (Live-Online-Seminar),Datenschutz
274,Social Media Manager (IHK) - (Live-Online-Seminar),iOS
275,Steueränderungen - Wissensupdate,Steuerrecht
276,Steueränderungen - Wissensupdate,Gesetzgebungsverfahren
277,Steueränderungen - Wissensupdate,Steuerrecht
278,Steueränderungen - Wissensupdate,Gesetzgebungsverfahren
279,Telefon und Empfang - Ihre Visitenkarte!,andere führen
280,Telefon und Empfang - Ihre Visitenkarte!,Kommunikation
281,Telefon und Empfang - Ihre Visitenkarte!,Körpersprache
282,Telefon und Empfang - Ihre Visitenkarte!,andere führen
283,Telefon und Empfang - Ihre Visitenkarte!,Kommunikation
284,Telefon und Empfang - Ihre Visitenkarte!,Körpersprache
285,Umgang mit Trauer am Arbeitsplatz,andere führen
286,Umgang mit Trauer am Arbeitsplatz,Prägen
287,Umgang mit Trauer am Arbeitsplatz,Kommunikation
288,Umgangsformen im Geschäftsalltag,Kommunikation
289,Umgangsformen im Geschäftsalltag,Kommunikation
290,Umsatzsteuer bei Reihen- und Dreiecksgeschäften mit Auslandsbezug ,sich selbst darstellen
291,Umsatzsteuer bei Reihen- und Dreiecksgeschäften mit Auslandsbezug ,sich selbst darstellen
292,Vorbereitung auf die gastronomische IHK-Abschlussprüfung,planen
293,Vorbereitung auf die gastronomische IHK-Abschlussprüfung,planen
294,Vorbereitung auf die IHK-Abschlussprüfung für Kaufmann/-frau für Büromanagement Teil 2 der Abschlussprüfung,sich selbst darstellen
295,Vorbereitung auf die IHK-Abschlussprüfung für Kaufmann/-frau für Büromanagement Teil 2 der Abschlussprüfung,sich selbst darstellen
296,Vorbereitung auf die IHK-Abschlussprüfung für Verkäufer/-in und Kaufmann/-frau im Einzelhandel Teil 1 der Abschlussprüfung,Betriebswirtschaft
297,Vorbereitung auf die IHK-Abschlussprüfung für Verkäufer/-in und Kaufmann/-frau im Einzelhandel Teil 1 der Abschlussprüfung,Betriebswirtschaft
298,Vorbereitung auf die kaufmännische IHK-Abschlussprüfung,Betriebswirtschaft
299,Vorbereitung auf die kaufmännische IHK-Abschlussprüfung,Betriebswirtschaft
